event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2021-02-12 20:40:19+00:00,view,3506880,2144415922872385653,electronics.tablet,irbis,88.24,1515915625604828577,LqECcNi7n5
2020-11-07 12:11:33+00:00,view,4078916,2144415922427789416,computers.components.videocards,sapphire,415.54,1515915625533529238,bPYikffWV9
2020-11-30 18:28:56+00:00,purchase,4099764,2144415923207929981,auto.accessories.player,pioneer,126.68,1515915625534068383,mqMHpdQUPS
2020-10-05 21:14:10+00:00,view,3698960,2144415927813275891,,,136.02,1515915625503895207,kr4GPLBvTY
2020-12-04 08:18:19+00:00,view,3600539,2144415965687841050,construction.tools.generator,polaris,123.27,1515915625548210195,qbATmhNr3q
2020-10-27 14:56:08+00:00,purchase,4102479,2144415923107266682,computers.peripherals.printer,canon,374.38,1515915625531174504,eyErdJ74Pp
2020-12-13 03:42:46+00:00,view,546538,2144415934800986545,construction.tools.welding,,195.4,1515915625561841430,v1yZZJNetd
2020-11-23 20:59:40+00:00,view,1399976,2144415935421743555,,alas,10.0,1515915625542969307,uNhZORhSAl
2021-01-03 06:28:03+00:00,view,74578,2144415926143942854,,rekam,22.54,1515915625572141246,irX8RAqYGt
2020-11-16 05:49:15+00:00,view,1578612,2144415922872385653,electronics.tablet,xiaomi,284.3,1515915625539894153,Aw1rFsPhBm
2020-11-03 20:38:03+00:00,view,301243,2144415932628337009,,,1.57,1515915625534299060,dVdv0BzfZv
2021-01-15 17:57:17+00:00,view,1821813,2144415922427789416,computers.components.videocards,,397.48,1515915625531928149,8QbDTfCNJr
2021-02-19 12:44:07+00:00,view,3828163,2144415921203052617,,acv,23.57,1515915625596554273,WEwuh4BqUH
2020-10-22 15:06:58+00:00,view,852934,2144415934608048556,computers.peripherals.printer,,20.51,1515915625529225801,HcliqDtGy5
2021-01-07 09:06:49+00:00,view,4099764,2144415923207929981,auto.accessories.player,pioneer,126.68,1515915625571752733,ZMP7PSDSPv
2020-11-12 11:52:02+00:00,view,3689286,2144415926848585945,,aerocool,31.59,1515915625537051255,L3a2bYmheS
2020-10-21 03:44:47+00:00,cart,914319,2144415943961346730,,,16.98,1515915625528573842,LKsksq3gVB
2020-11-19 20:27:25+00:00,view,3799375,2144415924021624977,electronics.tablet,spigen,42.75,1515915625541424617,to5fiT1sJh
2020-12-17 15:44:55+00:00,view,3791351,2144415926966026460,computers.components.cpu,amd,204.29,1515915625564463102,cOeJoilwN9
2021-01-29 17:17:11+00:00,view,906663,2144415941067276891,electronics.tablet,sirius,10.79,1515915625598456900,X2hRcNCoE3
2021-02-27 10:44:50+00:00,view,1274992,2144415945622291159,appliances.kitchen.grill,kitfort,64.46,1515915625610363290,No8rizKsFu
2020-11-04 02:07:36+00:00,view,1453104,2144415922587172973,electronics.telephone,spigen,10.3,1515915625534353934,1kYnZx5c0T
2021-01-20 00:49:00+00:00,purchase,3791351,2144415926966026460,computers.components.cpu,amd,204.29,1515915625595030922,zMr79OiVmW
2021-01-18 14:10:18+00:00,view,1784951,2144415921169498184,,cameronsino,5.71,1515915625594529418,BkTvHQYllv
2021-02-22 08:24:12+00:00,view,4154624,2144415922427789416,computers.components.videocards,msi,82.41,1515915625606856150,kVSkovkrJO
2021-02-23 03:23:18+00:00,view,893196,2144415922427789416,computers.components.videocards,sapphire,214.1,1515915625608633669,dwwtwInj6r
2020-11-28 18:33:02+00:00,view,3829509,2144415922528452715,electronics.telephone,sirius,19.37,1515915625545895634,Jslno3IpDV
2020-11-13 14:15:22+00:00,view,4170535,2144415939364389423,electronics.clocks,amazfit,64.92,1515915625538966798,d0igRjX78C
2021-02-13 10:28:14+00:00,view,1724549,2144415923660914824,,tefal,300.49,1515915625604991631,ctqOHTVWHg
2020-10-06 20:47:04+00:00,cart,1263516,2144415950991000437,,fubag,75.67,1515915625364062846,NYL2kVNeJt
2021-01-05 21:02:12+00:00,view,1160105,2144415973346640379,computers.components.hdd,,43.48,1515915625573274263,MXNBwLzIuh
2020-10-03 13:42:54+00:00,view,1044907,2144415942904382094,,,29.97,1515915625522051983,ebEJGEbDXC
2020-11-01 17:56:43+00:00,view,3699987,2144415926445932750,electronics.audio.acoustic,jbl,43.13,1515915625533342575,evpJ7mwvIk
2021-01-14 04:26:00+00:00,view,3698756,2144415925011480748,stationery.cartrige,lexmark,115.76,1515915625592913670,BeEFCxznuC
2020-11-03 20:39:23+00:00,view,3829066,2144415923107266682,computers.peripherals.printer,xerox,180.71,1515915625525477850,OKhSyRRbCv
2021-02-03 18:33:03+00:00,view,1821813,2144415922427789416,computers.components.videocards,,397.48,1515915625598821283,cnuGCQ74nh
2020-10-27 05:08:49+00:00,view,3828501,2144415927049912542,electronics.video.tv,bbk,87.16,1515915625530973149,h1i8rR2RQ4
2021-01-02 15:18:01+00:00,view,272546,2144415924491387038,computers.components.motherboard,asus,55.25,1515915625570597749,lXXdYdfwq4
2020-11-21 08:23:15+00:00,view,126489,2144415926697590997,computers.desktop,,20.17,1515915625541955030,c2vIOKFZuG
2020-12-20 17:33:11+00:00,view,287525,2144415927158964449,,,9.35,1515915625565900345,5zQfvVQglQ
2021-01-06 14:12:23+00:00,view,3828706,2144415922427789416,computers.components.videocards,gigabyte,479.52,1515915625572341637,YbPOV0Sy4h
2020-10-22 11:26:13+00:00,view,1019192,2144415923837075596,electronics.audio.acoustic,ginzzu,13.57,1515915625529136892,f9GSMV7wrR
2020-10-12 20:28:19+00:00,view,1542256,2144415928845074703,computers.notebook,hp,23.17,1515915625525280972,mecO6wiA9F
2020-11-14 04:56:59+00:00,cart,841971,2144415924348780698,computers.notebook,,24.92,1515915625539153762,S70P4nJWgu
2020-12-20 10:01:24+00:00,view,640778,2144415934608048556,computers.peripherals.printer,,63.16,1515915625565671934,8bU91jEr59
2021-02-21 17:58:12+00:00,view,1017066,2144415952601613218,,,76.03,1515915625608181770,woGamOeONt
2021-01-29 16:28:57+00:00,view,3829444,2144415922427789416,computers.components.videocards,gigabyte,897.79,1515915625598392280,FCCFm7mF4B
2021-02-28 09:33:49+00:00,view,139578,2144415926932472027,computers.components.cooler,,18.7,1515915625610775251,pglAvIFUqb
2021-02-09 04:40:22+00:00,view,4078926,2144415922427789416,computers.components.videocards,palit,456.51,1515915625594889077,PJNQ6YmhY8
2020-10-27 22:02:47+00:00,view,730079,2144415922939494519,,panasonic,36.27,1515915625531302050,4LLr8STGgT
2021-01-15 06:56:13+00:00,cart,1830099,2144415922427789416,computers.components.videocards,palit,486.81,1515915625593313050,G0AGtZjJSe
2020-10-20 05:14:15+00:00,view,904123,2144415923014991993,auto.accessories.videoregister,neoline,120.48,1515915625528152376,NW9x2xiqx8
2021-02-01 14:44:20+00:00,view,123946,2144415922092245087,computers.peripherals.joystick,defender,54.71,1515915625599463119,0sIEP2zc7y
2021-02-24 03:04:00+00:00,view,608119,2144415926370435276,,panasonic,46.67,1515915625599128292,AiiCoYUv34
2020-10-29 10:32:17+00:00,view,32522,2144415925011480748,stationery.cartrige,cactus,18.94,1515915625531861913,7VRkPVEAbL
2020-10-02 20:11:37+00:00,view,3828755,2144415975410238005,electronics.audio.acoustic,eva,13.02,1515915625521872794,nY70XlSntL
2020-09-25 11:19:43+00:00,view,1813290,2144415934608048556,computers.peripherals.printer,,9.95,1515915625515698186,xHid4QE0Ps
2021-02-22 16:59:40+00:00,view,1621872,2144415945622291159,appliances.kitchen.grill,energy,27.92,1515915625608522389,INyIkXGTFC
2021-01-26 01:56:06+00:00,purchase,4099645,2144415922427789416,computers.components.videocards,gigabyte,292.83,1515915625597167436,O3MsoNxlmb
2021-02-24 18:20:13+00:00,view,871692,2144415921815421016,,palmexx,11.65,1515915625609232458,t0kjNO8zgN
2020-10-29 13:51:49+00:00,view,1040006,2144415927125410016,,thomson,28.48,1515915625531920564,DHPEiDWiNS
2021-02-15 13:10:52+00:00,view,3760252,2144415923107266682,computers.peripherals.printer,hp,104.51,1515915625605782146,zcwZCAzUUz
2021-01-01 16:12:35+00:00,view,701768,2144415925011480748,stationery.cartrige,,18.11,1515915625571620170,3nkNCzNabe
